N,Город,Регион,Федеральный_округ,Население,Основан,Статус_города,Прежние_названия
1081,Шацк,Рязанская область,Центральный,5 927,1553,1553,
1082,Шебекино,Белгородская область,Центральный,39 680,1713,1938,
1083,Шелехов,Иркутская область,Сибирский,41 998,1953,1962,ИркАЗ (до 1956)
1084,Шелковская,Чечня,Северо-Кавказский,12 593,1718,2024,Сарафанниково
1085,Шенкурск,Архангельская область,Северо-Западный,4 600,1137,1780,"Вага, Шенкурье"
1086,Шилка,Забайкальский край,Сибирский,12 046,1897,1951,
1087,Шимановск,Амурская область,Дальневосточный,16 488,1910,1950,Пёра (до 1914);
1088,Шиханы,Саратовская область,Приволжский,5 155,1928,1996,
1089,Шлиссельбург,Ленинградская область,Северо-Западный,14 131,1323,1780,Орешек (до 1611);
1090,Шумерля,Чувашия,Приволжский,26 873,1916,1937,
1091,Шумиха,Курганская область,Уральский,16 264,1892,1944,
1092,Шуя,Ивановская область,Центральный,55 225,1394,1778,Борисоглебская слобода
1093,Щёкино,Тульская область,Центральный,55 109,1870,1938,
1094,Щёлкиноне призн.,Крым,Южный,10 131,1978,1992,
1095,Щёлково,Московская область,Центральный,134 211,XVI век,1925,
1096,Щигры,Курская область,Центральный,14 927,XVIII век,1779,Троицкое (до 1779)
1097,Щучье,Курганская область,Уральский,8 252,1750,1945,
1098,Электрогорск,Московская область,Центральный,29 982,1912,1946,Электропередача (до 1946)
1099,Электросталь,Московская область,Центральный,146 403,1916,1938,Затишье (до 1928)
1100,Электроугли,Московская область,Центральный,17 944,1899,1956,
1101,Элиста,Калмыкия,Южный,102 583,1865,1930,Степной (с 1944 до 1957)
1102,Энгельс,Саратовская область,Приволжский,225 428,1747,1914,Покровская слобода (до 1914);
1103,Эртиль,Воронежская область,Центральный,10 024,1897,1963,Ертил
1104,Югорск,Ханты-Мансийский АО,Уральский,38 238,1962,1992,Комсомольский (до 1992)
1105,Южа,Ивановская область,Центральный,12 957,1628,1925,
1106,Южно-Сахалинск,Сахалинская область,Дальневосточный,181 587,1882,1905,Владимировка (до 1905);
1107,Южно-Сухокумск,Дагестан,Северо-Кавказский,10 503,1958,1988,
1108,Южноуральск,Челябинская область,Уральский,37 478,1948,1963,"Нижнеувельский острог (до 1775),"
1109,Юрга,Кемеровская область,Сибирский,79 693,1886,1949,
1110,Юрьев-Польский,Владимирская область,Центральный,17 276,1152,1778,
1111,Юрьевец,Ивановская область,Центральный,7 899,1225,1778,
1112,Юрюзань,Челябинская область,Уральский,10 284,1758,1943,Юрюзанский завод (до 1943)
1113,Юхнов,Калужская область,Центральный,6 610,1410,1777,
1114,Ядрин,Чувашия,Приволжский,7 918,1590,1781,
1115,Якутск,Якутия,Дальневосточный,355 443,1632,1643,"Ленский острог, Якутский острог"
1116,Ялтане призн.,Крым,Южный,74 652,1154,1838,Красноармейск (с 1921 до 1922)
1117,Ялуторовск,Тюменская область,Уральский,38 853,1659,1782,
1118,Янаул,Башкортостан,Приволжский,25 908,1730-е,1991,
1119,Яранск,Кировская область,Приволжский,14 284,1584,1780,
1120,Яровое,Алтайский край,Сибирский,16 424,1943,1993,
1121,Ярославль,Ярославская область,Центральный,577 279,1010,1071,
1122,Ярцево,Смоленская область,Центральный,41 452,1610,1926,
1123,Ясногорск,Тульская область,Центральный,15 269,1578,1958,Лаптево (до 1965)
1124,Ясный,Оренбургская область,Приволжский,15 471,1961,1979,
1125,Яхрома,Московская область,Центральный,14 011,1841,1940,"Суровцево, посёлок Покровской мануфактуры"
